area,ward,wardname,winner,party,quota
Vadakara,37,KAKKATTIYIL,N SAHIRA,ML,Woman
Vadakara,38,THURUTHIYIL,M P AHAMMAD,ML,General
Vadakara,39,KAYYIL,PAROL INDIRA,CPI(M),Woman
Vadakara,40,AZHITHALA,ANSAR,ML,General
Vadakara,41,PURAMKARA,C DAMODHARAN MASTER,CPI(M),General
Vadakara,42,PAKKAYIL,P P RANJINI,CPI(M),Woman
Vadakara,43,NADOL,K P BINDU,CPI(M),Woman
Vadakara,44,KOYILANDI VALAPPU,P RAIHANATH,ML,Woman
Vadakara,45,PANDIKASALA,P ABDULKAREEM,ML,General
Vadakara,46,MUKKOLA,P SAFIYA,ML,Woman
Vadakara,47,MUKACHERY,P T K JASEELA,ML,Woman
Koyilandy,1,PATHIRIKAD,OMANA,CPI,Woman
Koyilandy,2,MARALUR,M.T. SANTHOSH,CPI(M),General
Koyilandy,3,KODAKKATTUM MURI,PRAJILA. C,CPI(M),Woman
Koyilandy,4,PERUMKUNI,RAJESH. T. K,CPI(M),General
Koyilandy,5,PULIYENCHERY,ANITHA.  V,CPI(M),Woman
Koyilandy,6,ATTAVAYAL,K. GANGADHARAN,CPI(M),SC
Koyilandy,7,PULIYENCHERY EAST,BEENA,CPI(M),Woman
Koyilandy,8,KALATHINKADAVU,PRASANNA. T,CPI(M),Woman
Koyilandy,9,VIYYUR,SHEEBA,INC,Woman
Koyilandy,10,PAVUVAYAL,BALAKRISHNAN,CPI(M),General
Koyilandy,11,PANTHALAYANI NORTH,USHA. K,CPI(M),Woman
Koyilandy,12,PUTHALATHU KUNNU,SUDHA. K. P,CPI(M),Woman
Koyilandy,13,PERUVATTOOR,MEENAKSHI,INC,SC Woman
Koyilandy,14,PANTHALAYANI CENTRAL,SHYMA,CPI(M),Woman
Koyilandy,15,PANTHALAYANI SOUTH,T. K. CHANDRAN,CPI(M),General
Koyilandy,16,PERUVATTOR CENTRAL,SHYJA,INC,Woman
Koyilandy,17,KAKRATTU KUNNU,RAJEESH V.K,INC,General
Koyilandy,18,ARUVAYAL,K.V. SHEEJA,CPI(M),Woman
Koyilandy,19,ANELA,K  A. INDIRA TEACHER,CPI(M),Woman
Koyilandy,20,MUTHAMBI,C.P. KARUNAN,INC,General
Koyilandy,21,THETTIKUNNU,R.K K. ANILKUMAR,CPI(M),General
Koyilandy,22,KAVUM VATTOM,MADHAVAN P.V,CPI(M),General
Koyilandy,23,MOOZHIKKU MEETHAL,JAMAL PUNATHIL,INC,General
Koyilandy,24,MARUTHOOR,BHASKARAN,CPI(M),General
Koyilandy,25,ANELA KURUVANGAD,VASANTHA. U.V,CPI(M),SC Woman
Koyilandy,26,KANAYAMKODE,ISMAYIL. P. K,CPI(M),General
Koyilandy,27,VARAKUNNU,N. V. RAVEENDRAN,CPI(M),General
Koyilandy,28,KURUVANGAD,M.M. VIJAYA,CPI(M),Woman
Koyilandy,29,MANAMAL,VALSARAJ,INC,General
Koyilandy,30,KOMATHUKARA,K. SANTHA,CPI(M),Woman
Koyilandy,31,KOTHAMANGALAM,SUJATHA. A,CPI(M),Woman
Koyilandy,32,NADELAKANDY,T. PUSHPA,CPI(M),Woman
Koyilandy,33,KORAYANGAD,PAYATTU VALAPPIL MANOJ.K,INC,General
Koyilandy,34,CHALILPARAMBU,SUJATHA. V.V,CPI(M),Woman
Koyilandy,35,CHERIYAMANGAD,VINOD KUMAR. K. K,BJP,General
Koyilandy,36,VIRUNNUKANDY,JAYAN. V. K,BJP,General
Koyilandy,37,KOYILANDY SOUTH,V.P. IBRAHIM KUTTY,ML,General
Koyilandy,38,THAZHANGADY,SAHEERA. C. K,ML,Woman
Koyilandy,39,KOYILANDY TOWN,A. ASEEZ,ML,General
Koyilandy,40,KASMIKANDY,RATHNAVALLY. P,INC,Woman
Koyilandy,41,CIVILSTATION,ANITHA. T.C,BJP,Woman
Koyilandy,42,URAMKUNNU,NAJEEB. K. M,ML,General
Koyilandy,43,KOLLAM WEST,ISMAIL. T. V,ML,General
Koyilandy,44,KANIYAM KUNNU,A.P. SUDHEESH,CPI(M),General
Kozhikode,1,ELATHUR,JUGAL BABU C M,INC,General
Kozhikode,2,CHETTIKULAM,NISHA K,CPI(M),Woman
Kozhikode,3,ERANHIKKAL,HAJARA M P,CPI(M),Woman
Kozhikode,4,PUTHUR,RADHAKRISHNAN  MASTER M,CPI(M),General
Kozhikode,5,MOKAVOOR,LIMNA SURESH,NCP,Woman
Kozhikode,6,KUNDOOPARAMBA,MANJU CHANDRAN,CPI(M),Woman
Kozhikode,7,KARUVISSERY,SUDHEER V,CPI(M),General
Kozhikode,8,MALAPARAMBA,PROF.ABDUL LATHEEF P T,CPI(M),General
Kozhikode,9,THADAMBATTUTHAZHAM,SADASIVAN O,CPI(M),General
Kozhikode,10,VENGERI,SREEDHARAN M,CPI(M),General
Kozhikode,11,POOLAKKADAVU,JANAMMA KUNHUNNUNY,CPI(M),Woman
Kozhikode,12,PAROPADI,SHOBITHA K C,INC,Woman
Kozhikode,13,CIVILSTATION,SATHYANATHAN K,INC,General
Kozhikode,14,CHEVARAMBALAM,PADMAJA K T,CPI(M),Woman
Kozhikode,15,VELLIMADUKUNNU,BALAGOPALAN K,INC,General
Kozhikode,16,MOOZHIKKAL,HAMEED M P,CPI(M),General
Kozhikode,17,CHELAVOOR,SHINOJ KUMAR P,INC,General
Kozhikode,18,MAYANAD,AMINA TEACHER KALATHIL,ML,Woman
Kozhikode,19,MEDICAL COLLEGE SOUTH,SOMAN E M,CPI(M),General
Kozhikode,20,MEDICAL COLLEGE,MOHANAN M,CPI(M),General
Kozhikode,21,CHEVAYOOR,VIDYA BALAKRISHNAN,INC,Woman
Kozhikode,22,KOVOOR,MEERA DARSAK,CPI(M),Woman
Kozhikode,23,NELLIKKODE,DEVAKI K,CPI(M),Woman
Kozhikode,24,KUDILTHODE,ANITHA KRISHNANUNNI,INC,Woman
Kozhikode,25,KOTTOOLI,ANITHA RAJAN,NCP,Woman
Kozhikode,26,PARAYENCHERI,RAVINDRAN K,CPI(M),General
Kozhikode,27,PUTHIYARA,SREEKUMAR K,INC,General
Kozhikode,28,KUTHIRAVATTAM,CHEMBIL VIVEKANANDAN,CPI(M),General
Kozhikode,29,POTTAMMAL,PROF.A K PREMAJAM,CPI(M),Woman
Kozhikode,30,KOMMERI,KAVITHA ARUN,INDEPENDENT,Woman
Kozhikode,31,KUTTIYILTHAZHAM,KOYAMOIDEEN T P,CPI(M),General
Kozhikode,32,POKKUNNU,BEERAN KOYA K T,ML,General
Kozhikode,33,KINASSERY,SREEVALLI C P,ML,SC Woman
Kozhikode,34,MANKAVU,SOUDAMINI TEACHER K,INC,Woman
Kozhikode,35,AZHCHAVATTOM,MOYINKUTTY N C,SJ(D),General
Kozhikode,36,KALLAI,SUDHAMANI M C,INC,Woman
Kozhikode,37,PANNIYANKARA,ADV. ANVAR A V,ML,General
Kozhikode,38,MEENCHANTHA,USHADEVI TEACHER,INC,Woman
Kozhikode,39,THIRUVANNUR,AYISHABI PANDIKASALA,ML,Woman
Kozhikode,40,AREEKKAD NORTH,SALMA RAHMAN,CPI(M),Woman
Kozhikode,41,AREEKKAD,NABEESA SAIDU,CPI(M),Woman
Kozhikode,42,NALLALAM,SABITHA KODI T,ML,SC Woman
Kozhikode,43,KOLATHARA,ZAREENA C,CPI(M),Woman
Kozhikode,44,KUNDAYITHODU,GIRIJA  HARIDAS,CPI(M),Woman
Kozhikode,45,CHERUVANNUR EAST,SREEJA HAREESH,CPI(M),Woman
Kozhikode,46,CHERUVANNUR WEST,MOIDEEN KOYA T,CPI(M),General
Kozhikode,47,BEYPORE PORT,JALAJA P,CPI(M),Woman
Kozhikode,48,BEYPORE,THOTTUNGAL RAJANI,CPI(M),Woman
Kozhikode,49,MARAD,PONNATH DEVARAJAN,CPI(M),General
Kozhikode,50,NADUVATTOM,PRASEEJA V,CPI(M),Woman
Kozhikode,51,PUNCHAPPADAM,HYDARALI P V,CPI(M),General
Kozhikode,52,ARAKKINAR,SAIFUNEESA K K,ML,Woman
Kozhikode,53,MATHOTTAM,HASSAN T,CPI(M),General
Kozhikode,54,KAPPAKKAL,AVARAN P V,ML,General
Kozhikode,55,PAYYANAKKAL,MUSAFER AHAMED,CPI(M),General
Kozhikode,56,CHAKKUMKADAVU,SWAMINADHAN M K,CPI(M),General
Kozhikode,57,MUKHADAR,BRAZEELIA SHAMSUDHEEN,INL,Woman
Kozhikode,58,KUTTICHIRA,ABDULLA KOYA K P,ML,General
Kozhikode,59,CHALAPPURAM,ADV. M T PADMA,INC,Woman
Kozhikode,60,PALAYAM,ZACHARIA P HUSSAIN,INC,General
Kozhikode,61,VALIYANGADI,POTTANGADI KISHEN CHAND,SJ(D),General
Kozhikode,62,MOONNALINGAL,JEAN MOSES,SJ(D),Woman
Kozhikode,63,THIRUTHIYAD,BHARADWAJ O M,CPI(M),SC
Kozhikode,64,ERANHIPALAM,SINI K,CPI(M),Woman
Kozhikode,65,NADAKKAVU,ARANGIL KAMALA REGHUNATH,SJ(D),Woman
Kozhikode,66,VELLAYIL,MUHAMMED ALI K,ML,General
Kozhikode,67,THOPPAYIL,SUJAN T,CPI(M),General
Kozhikode,68,CHAKKORATHUKULAM,RENUKA DEVI C K,CPI(M),Woman
Kozhikode,69,KARAPARAMBA,POOLAKKAL SREEKUMAR,INC,General
Kozhikode,70,EAST HILL,KRISHNADAS THAVUNDAPURATH,INC,General
Kozhikode,71,ATHANIKKAL,SATHYABHAMA C S,INC,Woman
Kozhikode,72,WEST HILL,SALIM C P,INC,General
Kozhikode,73,EDAKKAD,BABU RAJ K V,CPI(M),General
Kozhikode,74,PUTHIYANGADI,SOUDABI T K,ML,Woman
Kozhikode,75,PUTHIYAPPA,MOHANDAS V K,CPI(M),General
